Timestamp,Time (ms)
1683987762693,83.7
1683987762893,55.4
1683987763093,49.3
1683987763293,72.1
1683987763493,67.1
1683987763693,52.4
1683987763893,61.5
1683987764093,51.4
1683987764293,50.2
1683987764493,43.2
1683987764693,56.3
1683987764893,57.4
1683987765093,72.6
1683987765293,48.2
1683987765493,72.3
1683987765693,53.2
1683987765893,52.3
1683987766093,44.4
1683987766293,48.2
1683987766493,46.3
1683987766693,206.0
1683987766893,82.2
1683987767093,149.0
1683987767293,137.0
1683987767493,51.7
1683987767693,87.7
1683987767893,54.5
1683987768093,50.2
1683987768293,68.2
1683987768493,59.3
1683987768693,49.1
1683987768893,63.2
1683987769093,54.6
1683987769293,61.9
1683987769493,40.4
1683987769693,49.4
1683987769893,60.3
1683987770093,63.2
1683987770293,65.5
1683987770493,44.2
1683987770693,54.9
1683987770893,47.4
1683987771093,63.5
1683987771293,50.1
1683987771493,49.3
1683987771693,55.3
1683987771893,54.7
1683987772093,58.6
1683987772293,59.3
1683987772493,51.2
1683987772693,56.5
1683987772893,54.2
1683987773093,47.8
1683987773293,47.6
1683987773493,43.3
1683987773693,48.6
1683987773893,63.8
1683987774093,51.4
1683987774293,49.5
1683987774493,48.6
1683987774693,62.2
1683987774893,56.4
1683987775093,66.0
1683987775293,47.2
1683987775493,51.3
1683987775693,53.4
1683987775893,55.3
1683987776093,43.4
1683987776293,55.4
1683987776493,50.2
1683987776693,49.5
1683987776893,66.3
1683987777093,48.0
1683987777293,48.2
1683987777493,59.2
1683987777693,73.7
1683987777893,52.2
1683987778093,45.2
1683987778293,55.4
1683987778493,51.4
1683987778693,51.4
1683987778893,49.2
1683987779093,50.1
1683987779293,62.3
1683987779493,54.4
1683987779693,43.4
1683987779893,56.3
1683987780093,49.2
1683987780293,58.4
1683987780493,44.1
1683987780693,53.1
1683987780893,46.4
1683987781093,54.2
1683987781293,44.7
1683987781493,48.0
1683987781693,47.5
1683987781893,50.3
1683987782093,51.3
1683987782293,67.7
1683987782493,169.0
1683987782693,229.0
1683987782893,53.2
1683987783093,115.0
1683987783293,63.3
1683987783493,53.2
1683987783693,147.0
1683987783893,49.9
1683987784093,51.2
1683987784293,193.0
1683987784493,57.3
1683987784693,111.0
1683987784893,63.4
1683987785093,182.0
1683987785293,64.3
1683987785493,60.2
1683987785693,65.3
1683987785893,76.3
1683987786093,61.7
1683987786293,96.9
1683987786493,59.0
1683987786693,175.0
1683987786893,70.3
1683987787093,108.0
1683987787293,53.4
1683987787493,62.2
1683987787693,137.0
1683987787893,48.2
1683987788093,57.3
1683987788293,56.1
1683987788493,129.0
1683987788693,47.4
1683987788893,206.0
1683987789093,49.5
1683987789293,56.4
1683987789493,83.3
1683987789693,196.0
1683987789893,50.3
1683987790093,61.5
1683987790293,75.1
1683987790493,57.0
1683987790693,51.4
1683987790893,115.0
1683987791093,71.4
1683987791293,199.0
1683987791493,46.3
1683987791693,51.1
1683987791893,70.7
1683987792093,188.0
1683987792293,53.4
1683987792493,106.0
1683987792693,69.8
1683988138413,149.0
1683988138613,48.3
1683988138813,65.3
1683988139013,41.5
1683988139213,114.0
1683988139413,59.5
1683988139613,59.0
1683988139813,203.0
1683988140013,62.1
1683988140213,60.7
1683988140413,80.4
1683988140613,74.4
1683988140813,84.4
1683988141013,55.4
1683988141213,69.2
1683988141413,81.3
1683988141613,97.0
1683988141813,71.4
1683988142013,72.6
1683988142213,65.2
1683988142413,64.3
1683988142613,76.6
1683988142813,70.0
1683988143013,77.0
1683988143213,91.1
1683988143413,66.5
1683988143613,63.3
1683988143813,68.2
1683988144013,62.5
1683988144213,60.2
1683988144413,61.2
1683988144613,67.4
1683988144813,60.7
1683988145013,83.8
1683988145213,78.0
1683988145413,72.5
1683988145613,104.0
1683988145813,50.3
1683988146013,76.3
1683988146213,76.3
1683988146413,76.9
1683988146613,71.3
1683988146813,75.4
1683988147013,73.4
1683988147213,68.3
1683988147413,67.4
1683988147613,67.5
1683988147813,71.1
1683988148013,64.4
1683988148213,63.4
1683988148413,64.4
1683988148613,84.2
1683988148813,67.4
1683988149013,59.4
1683988149213,64.3
1683988149413,83.3
1683988149613,59.4
1683988149813,81.2
1683988150013,74.5
1683988150213,77.3
1683988150413,52.3
1683988150613,77.3
1683988150813,72.3
1683988151013,69.3
1683988151213,374.0
1683988151413,174.0
1683988151613,110.0
1683988151813,70.3
1683988152013,212.0
1683988152213,81.2
1683988152413,60.4
1683988152613,84.3
1683988152813,77.5
1683988153013,78.3
1683988153213,100.0
1683988153413,56.3
1683988153613,99.3
1683988153813,79.1
1683988154013,72.3
1683988154213,72.5
1683988154413,71.4
1683988154613,74.5
1683988154813,69.2
1683988155013,69.2
1683988155213,69.3
1683988155413,73.3
1683988155613,65.4
1683988155813,65.4
1683988156013,89.1
1683988156213,72.4
1683988156413,62.5
1683988156613,65.3
1683988156813,177.0
1683988157013,59.3
1683988157213,60.4
1683988157413,60.3
1683988157613,59.4
1683988157813,56.3
1683988158013,170.0
1683988158213,55.5
1683988158413,104.0
1683988158613,204.0
1683988158813,43.4
1683988159013,47.5
1683988159213,53.1
1683988159413,71.2
1683988159613,50.4
1683988159813,66.3
1683988160013,53.3
1683988160213,56.3
1683988160413,50.2
1683988160613,54.1
1683988160813,48.3
1683988161013,56.1
1683988161213,44.3
1683988161413,43.4
1683988161613,53.3
1683988161813,53.2
1683988162013,62.3
1683988162213,50.2
1683988162413,59.2
1683988162613,49.3
1683988162813,66.3
1683988163013,57.3
1683988163213,46.3
1683988163413,53.3
1683988163613,44.5
1683988163813,55.2
1683988164013,44.3
1683988164213,47.2
1683988164413,50.3
1683988164613,51.0
1683988164813,62.2
1683988165013,50.6
1683988165213,57.4
1683988165413,57.4
1683988165613,47.1
1683988165813,63.3
1683988166013,36.2
1683988166213,61.3
1683988166413,46.5
1683988166613,43.1
1683988166813,48.3
1683988167013,43.4
1683988167213,62.3
1683988167413,51.2
1683988167613,60.0
1683988167813,58.3
1683988168013,56.0
1683988168213,47.4
1683988168413,54.3
1683988168613,46.3
1683988168813,47.1
1683988169013,56.3
1683988442453,52.2
1683988442653,44.3
1683988442853,42.3
1683988443053,59.2
1683988443253,49.9
1683988443453,67.4
1683988443653,49.3
1683988443853,58.1
1683988444053,49.5
1683988444253,57.5
1683988444453,61.9
1683988444653,52.7
1683988444853,52.0
1683988445053,51.3
1683988445253,46.2
1683988445453,68.2
1683988445653,50.6
1683988445853,58.3
1683988446053,58.1
1683988446253,48.4
1683988446453,54.9
1683988446653,46.5
1683988446853,63.2
1683988447053,53.3
1683988447253,44.2
1683988447453,50.4
1683988447653,52.3
1683988447853,50.5
1683988448053,50.0
1683988448253,48.9
1683988448453,47.9
1683988448653,65.0
1683988448853,47.3
1683988449053,53.3
1683988449253,44.4
1683988449453,52.1
1683988449653,42.3
1683988449853,52.0
1683988450053,58.6
1683988450253,52.2
1683988450453,49.0
1683988450653,48.1
1683988450853,47.3
1683988451053,48.2
1683988451253,46.2
1683988451453,45.1
1683988451653,43.2
1683988451853,44.3
1683988452053,51.4
1683988452253,58.1
1683988452453,49.3
1683988452653,65.2
1683988452853,56.1
1683988453053,48.3
1683988453253,48.3
1683988453453,192.0
1683988453653,73.9
1683988453853,46.5
1683988454053,47.2
1683988454253,52.4
1683988454453,43.2
1683988454653,42.7
1683988454853,51.3
1683988455053,52.4
1683988455253,50.1
1683988455453,49.2
1683988455653,56.3
1683988455853,50.4
1683988456053,47.3
1683988456253,46.2
1683988456453,45.1
1683988456653,44.2
1683988456853,44.6
1683988457053,54.6
1683988457253,60.3
1683988457453,51.8
1683988457653,51.8
1683988457853,50.5
1683988458053,66.7
1683988458253,58.3
1683988458453,50.5
1683988458653,53.0
1683988458853,48.1
1683988459053,58.3
1683988459253,47.3
1683988459453,46.8
1683988459653,61.5
1683988459853,48.6
1683988460053,45.1
1683988460253,52.7
1683988460453,52.0
1683988460653,44.2
1683988460853,42.3
