Timestamp,Time (ms)
1691249092591,36.8
1691249092791,36.5
1691249092991,35.2
1691249093191,34.8
1691249093391,34.0
1691249093591,53.2
1691249093791,52.2
1691249093991,51.4
1691249094191,50.3
1691249094391,49.4
1691249094591,48.5
1691249094791,47.2
1691249094991,46.5
1691249095191,45.5
1691249095391,47.9
1691249095591,43.5
1691249095791,42.3
1691249095991,41.5
1691249096191,40.4
1691249096391,39.3
1691249096591,39.6
1691249096791,39.2
1691249096991,37.3
1691249097191,36.4
1691249097391,36.9
1691249097591,38.1
1691249097791,38.5
1691249097991,53.3
1691249098191,51.8
1691249098391,52.0
1691249098591,50.7
1691249098791,50.8
1691249098991,49.9
1691249099191,49.3
1691249099391,49.9
1691249099591,51.3
1691249099791,58.6
1691249099991,46.9
1691249100191,47.2
1691249100391,45.5
1691249100591,44.9
1691249100791,43.7
1691249100991,43.6
1691249101191,42.2
1691249101391,41.4
1691249101591,40.4
1691249101791,39.4
1691249101991,38.5
1691249102191,41.0
1691249102391,36.9
1691249102591,39.8
1691249102791,35.8
1691249102991,35.8
1691249103191,35.6
1691249103391,34.0
1691249103591,53.4
1691249103791,33.1
1691249103991,32.5
1691249104191,31.3
1691249104391,49.5
1691249104591,48.3
1691249104791,53.1
1691249104991,59.9
1691249105191,47.5
1691249105391,44.8
1691249105591,44.7
1691249105791,48.6
1691249105991,48.0
1691249106191,41.7
1691249106391,41.3
1691249106591,40.3
1691249106791,39.6
1691249106991,38.7
1691249107191,38.5
1691249107391,37.1
1691249107591,36.4
1691249107791,35.2
1691249107991,34.3
1691249108191,53.4
1691249108391,52.8
1691249108591,51.7
1691249108791,51.4
1691249108991,50.2
1691249109191,53.9
1691249109391,52.3
1691249109591,49.3
1691249109791,47.7
1691249109991,47.0
1691249110191,57.6
1691249110391,45.5
1691249110591,44.1
1691249110791,43.4
1691249110991,42.3
1691249111191,41.5
1691249111391,40.6
1691249111591,40.0
1691249111791,39.5
1691249111991,43.2
1691249112191,37.2
1691249112391,36.4
1691249112591,35.4
1691249112791,34.2
1691249112991,58.4
1691249113191,58.0
1691249113391,58.2
1691249113591,35.7
1691249113791,123.0
1691249113991,31.5
1691249114191,44.2
1691249114391,43.4
1691249114591,33.3
1691249114791,62.3
1691249114991,70.8
1691249115191,69.7
1691249115391,62.3
1691249115591,82.3
1691249115791,81.9
1691249115991,79.3
1691249116191,78.9
1691249116391,78.0
1691249116591,77.1
1691249116791,78.1
1691249116991,75.6
1691249117191,76.0
1691249117391,76.0
1691249117591,77.9
1691249117791,74.2
1691249117991,78.5
1691249118191,81.6
1691249118391,72.9
1691249118591,87.1
1691249118791,43.5
1691249118991,42.8
1691249119191,41.4
1691249119391,31.5
1691249119591,39.3
1691249119791,38.4
1691249119991,37.3
1691249120191,36.2
1691249120391,35.5
1691249120591,34.6
1691249120791,53.3
1691249120991,52.2
1691249121191,51.3
1691249121391,50.4
1691249121591,49.4
1691249121791,48.4
1691249121991,47.3
1691249122191,46.3
1691249122391,45.5
1691249122591,44.7
1691249465482,46.1
1691249465682,47.9
1691249465882,44.6
1691249466082,45.3
1691249466282,128.0
1691249466482,75.6
1691249466682,36.4
1691249466882,36.3
1691249467082,34.6
1691249467282,34.8
1691249467482,54.0
1691249467682,53.3
1691249467882,52.2
1691249468082,51.2
1691249468282,52.6
1691249468482,49.8
1691249468682,49.1
1691249468882,53.1
1691249469082,47.3
1691249469282,46.1
1691249469482,45.3
1691249469682,43.7
1691249469882,43.2
1691249470082,42.0
1691249470282,44.8
1691249470482,41.1
1691249470682,30.3
1691249470882,39.5
1691249471082,38.2
1691249471282,36.8
1691249471482,36.9
1691249471682,36.1
1691249471882,35.1
1691249472082,54.2
1691249472282,53.2
1691249472482,52.3
1691249472682,50.7
1691249472882,50.9
1691249473082,50.2
1691249473282,49.4
1691249473482,48.2
1691249473682,47.4
1691249473882,46.2
1691249474082,45.6
1691249474282,86.9
1691249474482,43.7
1691249474682,42.9
1691249474882,47.4
1691249475082,42.6
1691249475282,43.9
1691249475482,40.3
1691249475682,45.0
1691249475882,38.8
1691249476082,38.7
1691249476282,38.2
1691249476482,37.4
1691249476682,85.9
1691249476882,35.8
1691249477082,35.5
1691249477282,54.5
1691249477482,53.3
1691249477682,51.8
1691249477882,51.9
1691249478082,52.4
