Timestamp,Time (ms)
1683987571565,30.0
1683987571765,19.8
1683987571965,18.3
1683987572165,15.4
1683987572365,24.4
1683987572565,176.0
1683987572765,41.1
1683987572965,99.1
1683987573165,55.0
1683987573365,174.0
1683987573565,38.4
1683987573765,98.5
1683987573965,14.3
1683987574165,21.1
1683987574365,12.6
1683987574565,87.5
1683987574765,48.8
1683987574965,166.0
1683987575165,43.0
1683987575365,84.7
1683987575565,43.9
1683987575765,163.0
1683987575965,26.8
1683987576165,82.0
1683987576365,41.3
1683987576565,160.0
1683987576765,38.0
1683987576965,79.7
1683987577165,38.4
1683987577365,16.8
1683987577565,20.7
1683987577765,15.0
1683987577965,19.4
1683987578165,16.8
1683987578365,18.1
1683987578565,17.2
1683987578765,17.6
1683987578965,184.0
1683987579165,14.1
1683987579365,13.8
1683987579565,13.3
1683987579765,16.8
1683987579965,14.5
1683987580165,15.0
1683987580365,14.3
1683987580565,12.9
1683987580765,12.7
1683987580965,12.4
1683987581165,11.5
1683987581365,14.6
1683987581565,14.9
1683987581765,19.4
1683987581965,23.0
1683987582165,17.7
1683987582365,16.9
1683987582565,21.6
1683987582765,16.8
1683987582965,20.0
1683987583165,19.1
1683987583365,23.0
1683987583565,23.1
1683987583765,22.1
1683987583965,27.0
1683987584165,20.8
1683987584365,20.2
1683987584565,24.1
1683987584765,18.8
1683987584965,22.7
1683987585165,20.8
1683987585365,21.3
1683987585565,16.5
1683987585765,24.3
1683987585965,18.4
1683987586165,22.5
1683987586365,12.1
1683987586565,23.9
1683987586765,17.5
1683987586965,20.3
1683987587165,13.5
1683987587365,16.9
1683987587565,11.9
1683987587765,15.7
1683987587965,18.8
1683987588165,16.4
1683987588365,14.0
1683987588565,19.0
1683987588765,18.9
1683987588965,19.1
1683987589165,15.6
1683987589365,20.1
1683987589565,19.9
1683987589765,19.5
1683987589965,19.1
1683987590165,17.2
1683987590365,16.8
1683987590565,16.6
1683987590765,15.8
1683987590965,14.7
1683987591165,14.4
1683987591365,18.9
1683987591565,24.0
1683987591765,12.3
1683987591965,21.9
1683987592165,11.4
1683987592365,20.3
1683987592565,15.0
1683987592765,14.2
1683987592965,18.0
1683987593165,23.2
1683987593365,16.1
1683987593565,19.8
1683987593765,19.4
1683987593965,23.9
1683987594165,23.6
1683987594365,23.1
1683987594565,21.2
1683987594765,20.9
1683987594965,19.7
1683987595165,20.6
1683987595365,24.7
1683987595565,21.6
1683987595765,23.9
1683987595965,22.8
1683987596165,23.3
1683987596365,23.4
1683987596565,14.9
1683987596765,15.2
1683987596965,14.2
1683987597165,13.4
1683987597365,12.6
1683987597565,21.7
1683987597765,15.7
1683987597965,17.9
1683987598165,24.4
1683987598365,13.7
1683987598565,13.7
1683987598765,17.2
1683987598965,16.5
1683987599165,15.4
1683987599365,12.8
1683987599565,18.8
1683987599765,18.9
1683987599965,19.3
1683987600165,11.7
1683987600365,15.6
1683987600565,16.7
1683987600765,20.1
1683987600965,21.2
1683987601165,27.2
1683987601365,22.6
1683987812332,36.8
1683987812532,26.3
1683987812732,88.3
1683987812932,44.2
1683987813132,62.4
1683987813332,35.5
1683987813532,34.3
1683987813732,44.1
1683987813932,73.2
1683987814132,33.3
1683987814332,41.4
1683987814532,30.5
1683987814732,39.7
1683987814932,29.3
1683987815132,32.2
1683987815332,27.6
1683987815532,29.2
1683987815732,26.4
1683987815932,34.3
1683987816132,67.6
1683987816332,33.0
1683987816532,33.4
1683987816732,31.2
1683987816932,42.7
1683987817132,32.6
1683987817332,40.6
1683987817532,30.2
1683987817732,38.4
1683987817932,27.5
1683987818132,29.2
1683987818332,27.5
1683987818532,106.0
1683987818732,70.6
1683987818932,46.1
1683987819132,34.8
1683987819332,35.4
1683987819532,34.4
1683987819732,32.3
1683987819932,49.2
1683987820132,52.3
1683987820332,31.5
1683987820532,41.3
1683987820732,29.5
1683987820932,29.4
1683987821132,48.4
1683987821332,27.2
1683987821532,26.7
1683987821732,37.5
1683987821932,31.7
1683987822132,34.1
1683987822332,35.1
1683987822532,26.3
1683987822732,42.6
1683987822932,32.6
1683987823132,42.7
1683987823332,41.0
1683987823532,30.6
1683987823732,29.4
1683987823932,36.5
1683987824132,28.0
1683987824332,36.7
1683987824532,37.3
1683987824732,35.4
1683987824932,35.1
1683987825132,33.2
1683987825332,43.4
1683987825532,31.5
1683987825732,29.4
1683987825932,29.3
1683987826132,28.3
1683987826332,61.4
1683987826532,37.2
1683987826732,36.9
1683987826932,34.6
1683987827132,68.2
1683987827332,43.5
1683987827532,33.3
1683987827732,42.1
1683987827932,32.5
1683987828132,30.3
1683987828332,30.3
1683987828532,44.2
1683987828732,46.3
1683987828932,27.9
1683987829132,27.3
1683987829332,26.5
1683987829532,33.6
1683987829732,34.3
1683987829932,32.3
1683987830132,31.3
1683987830332,41.4
1683987830532,39.4
1683987830732,33.8
1683987830932,28.8
1683987831132,45.1
1683987831332,27.4
1683987831532,26.3
1683987831732,34.6
1683987831932,33.3
1683987832132,52.1
1683987832332,32.7
1683987832532,41.6
1683987832732,31.9
1683987832932,29.5
1683987833132,38.6
1683987833332,38.4
1683987833532,37.5
1683987833732,27.8
1683987833932,26.3
1683987834132,26.8
1683987834332,44.0
1683987834532,34.2
1683987834732,43.7
1683987834932,32.5
1683987835132,31.4
1683987835332,30.6
1683987835532,29.6
1683987835732,30.5
1683987835932,28.5
1683987836132,35.4
1683987836332,26.6
1683987836532,45.5
1683987836732,34.5
1683987836932,33.4
1683987837132,31.3
1683987837332,39.4
1683987837532,39.7
1683987837732,29.3
1683987837932,29.3
1683987838132,36.5
1683987838332,28.4
1683987838532,36.4
1683987838732,44.2
1683987838932,42.4
1683987839132,43.0
1683987839332,33.7
1683987839532,32.3
1683987839732,39.4
1683987839932,28.4
1683987840132,30.8
1683987840332,37.9
1683987840532,38.3
1683987840732,38.3
1683987840932,45.7
1683987841132,39.8
1683987841332,35.3
1683987841532,34.2
1683987841732,33.3
1683987841932,74.2
1683987842132,39.7
1683988248951,34.5
1683988249151,33.3
1683988249351,33.2
1683988249551,31.4
1683988249751,30.3
1683988249951,30.3
1683988250151,30.3
1683988250351,47.5
1683988250551,45.3
1683988250751,27.2
1683988250951,26.3
1683988251151,35.6
1683988251351,26.2
1683988251551,25.1
1683988251751,33.4
1683988251951,43.5
1683988252151,41.2
1683988252351,40.3
1683988252551,29.2
1683988252751,40.6
1683988252951,38.2
1683988253151,37.3
1683988253351,36.3
1683988253551,34.5
1683988253751,46.2
1683988253951,44.4
1683988254151,41.3
1683988254351,40.3
1683988254551,59.7
1683988254751,128.0
1683988254951,113.0
1683988255151,27.5
1683988255351,27.3
1683988255551,26.4
1683988255751,24.5
1683988255951,48.5
1683988256151,36.6
1683988256351,33.4
1683988256551,30.6
1683988256751,31.6
1683988256951,41.5
1683988257151,29.6
1683988257351,38.2
1683988257551,36.4
1683988257751,36.3
1683988257951,35.4
1683988258151,46.5
1683988258351,44.3
1683988258551,31.4
1683988258751,49.6
1683988258951,40.7
1683988259151,30.3
1683988259351,29.2
1683988259551,77.7
1683988259751,38.0
1683988259951,27.5
1683988260151,26.8
1683988260351,26.1
1683988260551,29.8
1683988260751,50.9
1683988260951,51.5
1683988261151,32.5
1683988261351,42.4
1683988261551,40.3
1683988261751,49.6
1683988261951,39.0
1683988262151,36.6
1683988262351,55.2
1683988262551,37.4
1683988262751,36.3
1683988262951,24.3
1683988263151,44.0
1683988263351,42.5
1683988263551,42.6
1683988263751,46.5
1683988263951,29.6
1683988264151,29.6
1683988264351,39.6
1683988264551,36.8
1683988264751,28.3
1683988264951,26.5
1683988265151,25.7
1683988265351,74.0
1683988265551,34.5
1683988265751,57.4
1683988265951,44.3
1683988266151,39.8
1683988266351,41.8
1683988266551,41.8
1683988266751,40.9
1683988266951,39.5
1683988267151,49.3
1683988267351,62.3
1683988267551,25.2
1683988267751,30.4
1683988267951,34.4
1683988268151,34.4
1683988268351,42.4
1683988268551,40.2
1683988268751,40.2
1683988268951,55.3
1683988269151,28.5
1683988269351,37.4
1683988269551,29.1
1683988269751,26.4
1683988269951,44.3
1683988270151,43.2
1683988270351,159.0
1683988270551,32.4
1683988270751,40.3
1683988270951,28.3
1683988271151,165.0
1683988271351,37.4
1683988271551,25.2
1683988271751,31.4
1683988271951,43.9
1683988272151,50.6
1683988272351,42.4
1683988272551,41.5
1683988272751,31.3
1683988272951,47.3
1683988273151,28.2
